🇨🇳｜IPV4央视,#genre#
CCTV11,http://183.223.157.33:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://183.223.157.33:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://183.223.157.33:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://183.223.157.33:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://183.223.157.33:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CGTN,http://183.223.157.33:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://183.223.157.33:9901/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://171.221.240.108:808/hls/01/index.m3u8
CCTV2,http://171.221.240.108:808/hls/02/index.m3u8
CCTV5,http://171.221.240.108:808/hls/05/index.m3u8
CCTV6,http://171.221.240.108:808/hls/06/index.m3u8
CCTV10,http://171.221.240.108:808/hls/10/index.m3u8
CCTV14,http://171.221.240.108:808/hls/14/index.m3u8
CCTV3,http://118.122.2.29:9999/hls/3/index.m3u8
CCTV4,http://118.122.2.29:9999/hls/4/index.m3u8
CCTV5,http://118.122.2.29:9999/hls/5/index.m3u8
CCTV7,http://118.122.2.29:9999/hls/7/index.m3u8
CCTV8,http://118.122.2.29:9999/hls/8/index.m3u8
CCTV3,http://222.85.207.79:9901/hls/3/index.m3u8
CCTV1,http://test.agtv.xyz/jd/hncd.php?id=cctv1
CCTV2,http://test.agtv.xyz/jd/hncd.php?id=cctv2
CCTV3,http://test.agtv.xyz/jd/hncd.php?id=cctv3
CCTV4,http://test.agtv.xyz/jd/hncd.php?id=cctv4
CCTV5,http://test.agtv.xyz/jd/hncd.php?id=cctv5
CCTV6,http://test.agtv.xyz/jd/hncd.php?id=cctv6
CCTV7,http://test.agtv.xyz/jd/hncd.php?id=cctv7
CCTV8,http://test.agtv.xyz/jd/hncd.php?id=cctv8
CCTV9,http://test.agtv.xyz/jd/hncd.php?id=cctv9
CCTV10,http://test.agtv.xyz/jd/hncd.php?id=cctv10
CCTV11,http://test.agtv.xyz/jd/hncd.php?id=cctv11
CCTV12,http://test.agtv.xyz/jd/hncd.php?id=cctv12
CCTV13,http://test.agtv.xyz/jd/hncd.php?id=cctv13
CCTV14,http://test.agtv.xyz/jd/hncd.php?id=cctv14
CCTV15,http://test.agtv.xyz/jd/hncd.php?id=cctv15
CCTV17,http://test.agtv.xyz/jd/hncd.php?id=cctv17
风云足球,http://58.19.13.92:9901/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://211.91.58.229:33389/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://211.91.58.229:33389/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://211.91.58.229:33389/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://211.91.58.229:33389/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://211.91.58.229:33389/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://211.91.58.229:33389/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://211.91.58.229:33389/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://211.91.58.229:33389/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
